BlueTeam,RedTeam,Winner,GoldDifference,BlueTowers,BlueInhibitors,BlueDragons,BlueHerald,BlueBaron,RedTowers,RedInhibitors,RedDragons,RedHerald,RedBaron,BlueTop,BlueJungle,BlueMid,BlueADC,BlueSupport,RedTop,RedJungle,RedMid,RedADC,RedSupport
IMT,NV,redTeam,-7236,3,0,0,Yes,No,3,0,2,No,Yes,Galio,LeeSin,Ahri,Xayah,Blitzcrank,JarvanIV,Nidalee,Orianna,Varus,Karma
NV,IMT,blueTeam,5872,4,0,1,No,Yes,2,0,1,Yes,No,Renekton,LeeSin,Ahri,Ashe,Karma,Galio,RekSai,Orianna,Varus,Thresh
TSM,DIG,blueTeam,1264,3,0,2,No,No,2,0,0,Yes,No,Galio,LeeSin,Taliyah,Xayah,Rakan,Renekton,Elise,Cassiopeia,Varus,Braum
FOX,CLG,redTeam,-4609,1,0,0,No,No,2,0,2,No,Yes,Kennen,Ivern,Taliyah,Lucian,Karma,Galio,Rengar,Ahri,Varus,Bard
CLG,FOX,redTeam,-7309,2,0,0,No,No,6,1,2,Yes,Yes,Fiora,Gragas,Orianna,Varus,Zyra,Rumble,LeeSin,Taliyah,Caitlyn,Galio
FOX,CLG,redTeam,4096,4,0,1,Yes,No,2,0,1,No,Yes,Kennen,LeeSin,Leblanc,Varus,Sejuani,Gragas,Graves,Kassadin,Xayah,Blitzcrank
IMT,FLY,blueTeam,-463,2,0,0,No,No,2,0,2,No,No,Kennen,Gragas,Ahri,Caitlyn,Bard,JarvanIV,Elise,Talon,Ziggs,Karma
FLY,IMT,blueTeam,3075,3,0,0,No,Yes,3,0,2,No,No,Kennen,Rengar,Orianna,Ashe,Lulu,Gragas,LeeSin,Leblanc,Xayah,Karma
IMT,FLY,blueTeam,-3869,3,0,1,No,No,5,0,1,Yes,No,Renekton,Zac,Ahri,KogMaw,Bard,Gragas,Graves,Orianna,Jhin,Zyra
NV,TL,blueTeam,2776,3,0,2,Yes,No,2,0,1,No,No,JarvanIV,Elise,Taliyah,Caitlyn,Karma,Galio,Ivern,Cassiopeia,Xayah,Rakan
TL,NV,blueTeam,2953,4,0,1,No,No,2,0,1,No,No,Kennen,Olaf,Galio,Xayah,Rakan,Renekton,Nidalee,Ahri,Caitlyn,Karma
NV,TL,blueTeam,3222,3,0,1,Yes,No,3,0,1,No,No,JarvanIV,Elise,Taliyah,Caitlyn,Karma,Galio,Gragas,Lucian,Xayah,Rakan
DIG,TL,blueTeam,3688,5,0,2,Yes,Yes,3,0,0,No,No,Fiora,Elise,Orianna,Ashe,Lulu,Gragas,Rengar,Taliyah,Caitlyn,Karma
TL,DIG,blueTeam,2122,4,0,2,Yes,No,0,0,0,No,No,Rumble,Elise,Taliyah,Caitlyn,Karma,Renekton,Gragas,Orianna,Ashe,Zyra
DIG,TL,redTeam,-3528,3,0,1,Yes,No,6,0,2,No,No,JarvanIV,Elise,Orianna,Ashe,Zyra,Gragas,Olaf,Syndra,Caitlyn,Karma
CLG,TSM,blueTeam,5377,6,0,0,Yes,Yes,3,0,3,No,No,Gragas,LeeSin,Fiora,Varus,Blitzcrank,Kennen,Khazix,Galio,Caitlyn,Lulu
TSM,CLG,blueTeam,11108,6,0,2,Yes,Yes,2,0,1,No,No,Gragas,LeeSin,Taliyah,Ashe,Thresh,Renekton,Elise,Ahri,Varus,Blitzcrank
CLG,TSM,redTeam,-1635,2,0,1,No,No,3,0,1,Yes,No,Galio,Graves,Ahri,Xayah,Rakan,Renekton,LeeSin,Taliyah,Ashe,Thresh
P1,FLY,redTeam,-6544,1,0,2,No,No,6,0,1,Yes,Yes,Shen,RekSai,Cassiopeia,Varus,Karma,Rumble,Rengar,Viktor,Ashe,Zyra
TL,IMT,redTeam,224,3,0,0,Yes,No,2,0,1,No,No,Fiora,Khazix,Ahri,Kennen,Karma,JarvanIV,Gragas,Orianna,Caitlyn,Blitzcrank
TL,TSM,redTeam,964,3,0,1,Yes,No,2,0,1,No,No,Galio,Olaf,Taliyah,Ashe,Thresh,Renekton,Gragas,Orianna,Xayah,Rakan
TSM,TL,blueTeam,848,3,0,1,No,No,3,0,1,Yes,No,JarvanIV,Elise,Galio,Xayah,Rakan,Gragas,Khazix,Cassiopeia,Ashe,Bard
C9,IMT,redTeam,-151,2,0,1,Yes,No,3,0,1,No,No,Rumble,Elise,Lucian,Xayah,Thresh,JarvanIV,Gragas,Orianna,Tristana,Morgana
IMT,C9,blueTeam,1188,6,0,1,Yes,No,3,0,0,No,Yes,Kled,Elise,Taliyah,Xayah,Thresh,Shen,Olaf,Orianna,Varus,TahmKench
FLY,CLG,redTeam,-328,4,0,1,Yes,No,3,0,1,No,Yes,Gragas,Ivern,Lucian,Ashe,Zyra,Rumble,LeeSin,Viktor,Caitlyn,Blitzcrank
P1,DIG,redTeam,-842,4,0,1,Yes,No,4,0,1,No,No,Galio,Khazix,Syndra,Ashe,Karma,Shen,LeeSin,Viktor,Twitch,Rakan
NV,TSM,redTeam,-8627,1,0,0,Yes,No,6,0,2,No,Yes,Rumble,Elise,Galio,Varus,Zyra,Gragas,LeeSin,Cassiopeia,Ashe,Thresh
TSM,NV,blueTeam,-2241,2,0,1,Yes,No,1,0,2,No,No,Gragas,LeeSin,Syndra,Varus,Braum,Renekton,Elise,Ahri,Ashe,Thresh
CLG,P1,redTeam,-4700,3,0,0,No,No,3,0,3,Yes,No,Galio,Gragas,Lucian,Xayah,Rakan,Renekton,Nidalee,Cassiopeia,Varus,TahmKench
P1,CLG,redTeam,1223,2,0,0,Yes,No,1,0,1,No,No,Renekton,LeeSin,Taliyah,Twitch,TahmKench,Fiora,Gragas,Leblanc,Varus,Braum
FLY,C9,redTeam,-7733,1,0,0,No,No,6,0,3,Yes,Yes,Gragas,Rengar,Orianna,Kennen,Zyra,JarvanIV,Elise,Syndra,Xayah,Bard
C9,FLY,blueTeam,5027,4,0,1,Yes,No,1,0,2,No,No,Renekton,Elise,Cassiopeia,Varus,Braum,Gragas,Rengar,Talon,Xayah,Zyra
FOX,DIG,blueTeam,9497,5,0,1,Yes,Yes,1,0,0,No,No,Rumble,Elise,Lucian,Varus,Blitzcrank,Camille,Khazix,Viktor,Caitlyn,Karma
IMT,CLG,blueTeam,3141,3,0,3,No,No,1,0,0,Yes,No,JarvanIV,Gragas,Galio,Jhin,Bard,Camille,Khazix,Orianna,Caitlyn,TahmKench
CLG,IMT,redTeam,-642,2,0,0,Yes,No,3,0,2,No,Yes,Fiora,RekSai,Ahri,Ashe,TahmKench,Renekton,Elise,Taliyah,Kalista,Thresh
FOX,P1,redTeam,-4179,0,0,0,No,No,1,0,2,No,No,Shen,LeeSin,Leblanc,Xayah,Rakan,Kled,Nidalee,Galio,Jhin,Braum
P1,FOX,blueTeam,1712,2,0,1,No,No,3,0,1,No,No,Renekton,Nidalee,Cassiopeia,Jhin,Braum,Rumble,LeeSin,Taliyah,Tristana,Rakan
TSM,FLY,blueTeam,6575,5,0,2,No,Yes,1,0,0,Yes,No,Shen,LeeSin,Syndra,Tristana,Braum,Rumble,JarvanIV,Corki,Jhin,TahmKench
CLG,NV,blueTeam,1949,6,0,2,Yes,Yes,3,0,0,No,No,JarvanIV,RekSai,AurelionSol,Jhin,TahmKench,Shen,Nidalee,Cassiopeia,Varus,Thresh
C9,TL,blueTeam,2752,6,1,2,Yes,No,1,0,0,No,No,Galio,Elise,Lucian,Kennen,Blitzcrank,Renekton,RekSai,Taliyah,Jhin,TahmKench
TL,C9,redTeam,-3741,4,0,0,Yes,No,6,0,2,No,Yes,Renekton,RekSai,Corki,Caitlyn,Zyra,Kled,Elise,Orianna,Varus,Thresh
DIG,IMT,redTeam,-11443,1,0,0,No,No,8,1,3,Yes,Yes,Fiora,Elise,Orianna,Kennen,Braum,Renekton,Gragas,Ahri,Jhin,Bard
TSM,FOX,blueTeam,8038,7,1,2,Yes,Yes,1,0,1,No,No,Gragas,LeeSin,Syndra,Ashe,TahmKench,Renekton,RekSai,Ekko,Xayah,Rakan
TL,P1,blueTeam,101,2,0,1,No,No,2,0,1,Yes,No,Shen,Olaf,Orianna,Caitlyn,Lulu,Renekton,LeeSin,Taliyah,Jhin,Braum
TL,P1,blueTeam,12227,7,0,2,Yes,No,0,0,0,No,No,JarvanIV,Elise,Leblanc,Varus,Thresh,Kled,RekSai,Cassiopeia,Twitch,Braum
DIG,C9,redTeam,-4882,1,0,0,No,No,4,0,2,Yes,Yes,Fiora,Elise,Viktor,Varus,Thresh,Renekton,Gragas,Orianna,Jhin,TahmKench
C9,DIG,blueTeam,8300,5,1,2,No,Yes,1,0,1,Yes,No,Galio,Rengar,Syndra,Jhin,Lulu,Renekton,Gragas,Corki,Varus,Morgana
NV,FLY,blueTeam,8841,5,0,1,Yes,No,1,0,2,No,No,JarvanIV,Elise,Taliyah,Xayah,Braum,Shen,RekSai,Malzahar,Jhin,TahmKench
FLY,NV,redTeam,-13633,0,0,1,No,No,7,2,1,Yes,Yes,Kennen,JarvanIV,Leblanc,Ziggs,TahmKench,Renekton,LeeSin,Cassiopeia,Varus,Braum
C9,TSM,redTeam,-1105,3,0,1,Yes,No,5,0,2,No,Yes,Renekton,Elise,Viktor,Kalista,Thresh,Kled,LeeSin,Orianna,Jhin,TahmKench
NV,P1,blueTeam,2702,2,0,0,No,No,0,0,2,No,No,JarvanIV,Elise,Corki,Xayah,Morgana,Renekton,LeeSin,Orianna,Varus,Braum
TSM,IMT,blueTeam,1567,3,0,2,No,No,3,0,1,Yes,No,Kled,Khazix,Syndra,Jhin,TahmKench,Shen,RekSai,Orianna,Kalista,Thresh
IMT,TSM,redTeam,-2864,4,0,1,No,No,6,1,1,Yes,Yes,Renekton,Olaf,Galio,KogMaw,Braum,Gnar,RekSai,Cassiopeia,Tristana,Thresh
CLG,C9,blueTeam,3939,3,0,1,Yes,No,2,0,1,No,No,Kled,Gragas,AurelionSol,Tristana,Morgana,Rumble,LeeSin,Orianna,Jhin,Thresh
C9,CLG,blueTeam,6134,6,1,3,No,Yes,2,0,0,No,No,JarvanIV,Khazix,Syndra,Caitlyn,Braum,Jax,Gragas,Vladimir,Jhin,Rakan
DIG,FLY,redTeam,2749,2,0,1,No,No,3,0,2,Yes,No,Jax,LeeSin,Leblanc,Jhin,Morgana,Camille,Elise,Orianna,Tristana,Braum
FLY,DIG,redTeam,-5533,1,0,0,No,No,3,0,3,No,Yes,Renekton,Elise,Orianna,KogMaw,Braum,Rumble,LeeSin,Taliyah,Tristana,Morgana
DIG,FLY,redTeam,-3519,2,0,0,Yes,No,4,0,3,No,No,Camille,LeeSin,Syndra,Tristana,Braum,Rumble,RekSai,Lucian,Jhin,TahmKench
FOX,TL,blueTeam,3103,4,0,0,Yes,No,2,0,1,No,No,Kennen,Gragas,Corki,Tristana,Braum,JarvanIV,RekSai,Orianna,Xayah,Janna
FOX,TL,blueTeam,3924,4,0,0,Yes,Yes,1,0,2,No,No,Rumble,LeeSin,Corki,Caitlyn,TahmKench,Gnar,Elise,Viktor,Kalista,Bard
P1,IMT,redTeam,-7681,2,0,0,No,No,4,0,3,Yes,Yes,Renekton,Elise,Orianna,KogMaw,TahmKench,JarvanIV,RekSai,Syndra,Jhin,Thresh
IMT,P1,redTeam,-5507,1,0,1,No,No,3,0,1,Yes,No,Gragas,RekSai,Syndra,Jhin,Bard,Renekton,Nidalee,Ahri,Kalista,Thresh
P1,IMT,blueTeam,4389,4,0,1,No,No,1,0,0,No,No,Kled,Nidalee,Corki,Varus,Thresh,Renekton,RekSai,Taliyah,Ashe,Morgana
FLY,FOX,redTeam,-4092,3,0,1,No,No,3,0,1,Yes,Yes,Kled,Zac,Corki,Jhin,Braum,Renekton,RekSai,Malzahar,Ashe,TahmKench
FLY,FOX,blueTeam,342,4,0,0,Yes,No,3,0,2,No,No,Kled,Zac,Orianna,Tristana,TahmKench,Rumble,Gragas,Corki,Jhin,Braum
NV,DIG,blueTeam,-1770,2,0,1,No,No,3,0,1,Yes,No,Shen,Elise,Corki,Xayah,Braum,JarvanIV,LeeSin,Orianna,Jhin,Morgana
NV,DIG,blueTeam,10515,4,0,1,Yes,Yes,0,0,1,No,No,JarvanIV,Graves,Taliyah,Xayah,Thresh,Shen,LeeSin,Cassiopeia,Tristana,Rakan
TL,CLG,redTeam,101,3,0,3,No,No,3,0,0,No,No,Renekton,RekSai,Corki,Caitlyn,Braum,Fiora,Gragas,Kassadin,Ashe,Zyra
CLG,TL,blueTeam,6278,5,0,1,Yes,No,2,0,1,No,No,Gnar,Gragas,Orianna,Kennen,Braum,Irelia,RekSai,Corki,Ashe,TahmKench
CLG,FLY,blueTeam,-4467,0,0,1,No,No,3,0,1,Yes,Yes,Gnar,Gragas,Velkoz,Tristana,Morgana,Rumble,Khazix,Corki,Kalista,Sona
FLY,CLG,redTeam,-2657,2,0,0,Yes,No,4,0,2,No,No,Gnar,Gragas,Corki,KogMaw,Braum,Galio,Olaf,Velkoz,Kalista,Thresh
IMT,FOX,blueTeam,4451,6,0,3,Yes,No,1,0,0,No,No,JarvanIV,RekSai,Leblanc,Xayah,Alistar,Gnar,LeeSin,Cassiopeia,Kalista,Rakan
TSM,P1,blueTeam,1175,4,0,2,Yes,No,3,0,0,No,Yes,Gnar,RekSai,Taliyah,Tristana,Thresh,JarvanIV,Sejuani,Corki,Kalista,Braum
P1,TSM,redTeam,1596,3,0,1,Yes,Yes,3,0,2,No,No,Gnar,RekSai,Corki,Kalista,Thresh,Camille,Gragas,Galio,Tristana,Braum
DIG,CLG,blueTeam,10433,8,2,3,No,Yes,2,0,0,Yes,No,Renekton,Nunu,Orianna,Kalista,Thresh,Gnar,Gragas,Syndra,Tristana,Morgana
C9,NV,redTeam,-2159,4,0,0,No,No,3,0,2,Yes,Yes,Renekton,Elise,Corki,Tristana,Braum,Shen,Gragas,Syndra,Xayah,Thresh
NV,C9,blueTeam,-853,3,0,1,Yes,No,5,0,0,No,No,JarvanIV,Nidalee,Cassiopeia,Ashe,Thresh,Gnar,RekSai,Taliyah,Xayah,Rakan
FLY,TL,blueTeam,6045,5,0,2,Yes,Yes,1,0,0,No,No,Rumble,RekSai,Lucian,Kalista,Morgana,Gnar,Sejuani,Orianna,Tristana,Braum
C9,IMT,blueTeam,5696,5,0,2,Yes,No,1,0,1,No,Yes,Camille,Gragas,Orianna,Xayah,Rakan,JarvanIV,Maokai,Syndra,KogMaw,Thresh
C9,IMT,redTeam,-2413,4,0,2,Yes,No,4,0,1,No,Yes,Shen,RekSai,Syndra,Xayah,Rakan,Renekton,Gragas,Corki,KogMaw,Thresh
DIG,P1,blueTeam,9305,7,1,3,No,Yes,1,0,0,Yes,No,JarvanIV,Nunu,Taliyah,Tristana,Thresh,Jayce,Elise,Cassiopeia,Twitch,Braum
TSM,TL,blueTeam,2590,5,1,2,Yes,No,3,0,0,No,No,Renekton,Gragas,Syndra,Tristana,Braum,Kled,Maokai,Vladimir,Kalista,Rakan
TL,TSM,redTeam,6380,6,0,0,Yes,No,2,0,3,No,No,Renekton,Gragas,Taliyah,Corki,Galio,Kled,Sejuani,Cassiopeia,Tristana,Braum
FOX,NV,blueTeam,7368,6,0,1,Yes,Yes,1,0,1,No,No,Gnar,Elise,Taliyah,Tristana,Blitzcrank,JarvanIV,Graves,Cassiopeia,Xayah,Thresh
NV,FOX,blueTeam,10028,5,0,1,Yes,No,0,0,1,No,No,JarvanIV,Elise,Syndra,Ashe,TahmKench,Shen,Nunu,Corki,Xayah,Rakan
P1,C9,blueTeam,-2248,2,0,1,Yes,No,4,0,1,No,No,Chogath,Maokai,Kassadin,Sivir,Taric,Shen,LeeSin,Taliyah,Jhin,Thresh
C9,P1,blueTeam,6301,8,1,3,No,No,3,0,0,Yes,Yes,Maokai,Kayn,Cassiopeia,KogMaw,Braum,Chogath,Gragas,Corki,Sivir,Alistar
TL,NV,blueTeam,-1597,3,0,0,Yes,No,2,0,3,No,No,Gnar,Gragas,Orianna,Tristana,Lulu,Jayce,Chogath,Taliyah,Kalista,Kennen
NV,TL,blueTeam,4631,3,0,2,No,No,1,0,0,Yes,No,JarvanIV,Chogath,Taliyah,Jhin,Thresh,Renekton,Gragas,Orianna,Tristana,Alistar
TSM,DIG,redTeam,-4860,0,0,0,No,No,5,0,2,No,Yes,JarvanIV,Sejuani,Xerath,Tristana,Thresh,Maokai,Graves,Cassiopeia,Kalista,Blitzcrank
DIG,TSM,blueTeam,2921,4,0,1,No,No,3,0,1,Yes,No,Maokai,Graves,Taliyah,Sivir,Janna,Jax,Sejuani,Corki,Tristana,Braum
FOX,CLG,redTeam,-9231,2,0,0,No,No,6,0,2,Yes,Yes,Gnar,Elise,Corki,Varus,TahmKench,Maokai,Rengar,Taliyah,Jhin,Bard
FLY,IMT,blueTeam,-3714,1,0,0,No,No,3,0,3,Yes,Yes,Camille,Chogath,TwistedFate,Jhin,Janna,Poppy,Rumble,Taliyah,Kalista,Kennen
P1,TL,redTeam,-6172,2,0,0,No,No,4,0,2,Yes,Yes,Maokai,LeeSin,Corki,Jhin,TahmKench,JarvanIV,Elise,Orianna,Sivir,Thresh
C9,DIG,blueTeam,6617,4,0,1,Yes,No,1,0,2,No,No,Shen,Zac,Orianna,Varus,Taric,Chogath,Graves,Taliyah,Twitch,Thresh
DIG,C9,redTeam,-6202,2,0,1,No,No,5,0,2,Yes,Yes,Shen,Nunu,Cassiopeia,Kalista,Thresh,JarvanIV,Elise,Taliyah,Tristana,Taric
CLG,IMT,redTeam,-6461,2,0,0,No,No,4,0,1,Yes,Yes,Chogath,Rengar,Taliyah,Tristana,Soraka,Shen,JarvanIV,Corki,Jhin,Karma
IMT,CLG,redTeam,-5869,2,0,0,Yes,No,3,0,2,No,No,Renekton,JarvanIV,Galio,Jhin,Thresh,Fiora,Gragas,Taliyah,Kalista,Blitzcrank
CLG,IMT,redTeam,-1970,4,0,1,No,No,4,0,1,No,Yes,Shen,Olaf,Syndra,Caitlyn,Blitzcrank,Kled,RekSai,Taliyah,Jhin,Thresh
NV,FLY,redTeam,-1419,1,0,0,No,No,3,0,3,Yes,No,Renekton,Gragas,Syndra,Caitlyn,Karma,JarvanIV,Chogath,Corki,Kalista,Janna
NV,FLY,blueTeam,7525,5,0,1,Yes,No,1,0,1,No,No,Shen,Gragas,Syndra,Caitlyn,Morgana,Camille,Maokai,Corki,Kalista,Sona
P1,FOX,redTeam,3900,3,0,1,No,No,1,0,2,No,No,Jayce,Zac,Taliyah,Jhin,Blitzcrank,Shen,Maokai,Corki,Sivir,Janna
FOX,P1,blueTeam,-628,2,0,1,No,No,3,0,2,Yes,No,Camille,Gragas,Corki,Jhin,Taric,Chogath,RekSai,Kassadin,Sivir,Thresh
FLY,TSM,redTeam,-4523,2,0,0,No,No,4,0,2,Yes,No,Chogath,JarvanIV,Viktor,Jhin,Thresh,Gnar,Maokai,Cassiopeia,Varus,TahmKench
NV,CLG,redTeam,-7174,2,0,0,Yes,No,5,0,3,No,Yes,JarvanIV,Elise,Orianna,Varus,Braum,Camille,Gragas,Taliyah,Tristana,Morgana
CLG,NV,blueTeam,2220,5,1,2,Yes,Yes,3,0,0,No,No,JarvanIV,Gragas,Taliyah,Kalista,Morgana,Chogath,Elise,Leblanc,Tristana,Braum
DIG,IMT,blueTeam,-1924,1,0,1,No,No,3,0,2,Yes,No,Gnar,Maokai,Syndra,Caitlyn,Karma,Chogath,JarvanIV,Corki,Jhin,Lulu
IMT,DIG,blueTeam,8281,7,0,1,Yes,No,1,0,2,No,Yes,Shen,RekSai,Taliyah,Tristana,Bard,JarvanIV,Maokai,Karthus,Sivir,Janna
DIG,IMT,blueTeam,13344,7,2,2,Yes,Yes,0,0,0,No,No,Kled,Maokai,Syndra,Tristana,Alistar,JarvanIV,Gragas,Taliyah,Jhin,Morgana
TL,C9,blueTeam,-1474,3,0,0,No,No,3,0,3,Yes,No,Maokai,Gragas,Taliyah,KogMaw,Janna,Trundle,JarvanIV,TwistedFate,Tristana,Alistar
TL,C9,redTeam,-2311,4,0,1,No,No,6,1,2,Yes,Yes,Shen,Elise,Taliyah,Kalista,Bard,Gragas,Khazix,Orianna,Varus,Taric
C9,FLY,blueTeam,3875,4,0,0,No,No,1,0,2,No,No,Kled,Maokai,Syndra,Caitlyn,Blitzcrank,Rumble,JarvanIV,Orianna,Tristana,Thresh
CLG,P1,blueTeam,11902,5,0,0,Yes,Yes,0,0,1,No,No,Renekton,Maokai,Taliyah,Jhin,Braum,Gragas,LeeSin,Corki,Kalista,Bard
P1,CLG,blueTeam,10276,7,1,3,Yes,Yes,1,0,0,No,No,Renekton,Nidalee,Corki,Kalista,Braum,Gragas,Elise,Lucian,Jhin,Janna
CLG,P1,redTeam,-5638,0,0,0,No,No,2,0,2,Yes,Yes,JarvanIV,Maokai,Taliyah,Jhin,Janna,Kled,Gragas,Corki,Kalista,Braum
TSM,NV,blueTeam,-939,3,0,2,Yes,No,1,0,1,No,No,Shen,Gragas,Syndra,Tristana,Lulu,Chogath,RekSai,Taliyah,Kalista,Rakan
TSM,NV,blueTeam,-1799,4,0,0,No,No,4,0,3,Yes,No,JarvanIV,Gragas,Syndra,Tristana,Nami,Chogath,RekSai,Taliyah,Xayah,Karma
FOX,DIG,redTeam,-9629,1,0,0,Yes,No,7,0,3,No,Yes,Shen,Maokai,Corki,Sivir,Taric,Kled,Gragas,Cassiopeia,Tristana,Janna
DIG,FOX,redTeam,-862,3,0,0,No,No,3,0,2,No,No,Kled,Zac,Syndra,Tristana,Soraka,Poppy,Maokai,Taliyah,Varus,Janna
FOX,DIG,redTeam,-9241,3,0,0,Yes,No,7,0,3,No,Yes,Poppy,Maokai,Corki,Varus,Janna,Shen,Gragas,Cassiopeia,Kalista,Blitzcrank
CLG,DIG,redTeam,-5487,1,0,0,No,No,3,0,3,No,No,Camille,Maokai,Taliyah,KogMaw,Karma,Renekton,JarvanIV,Orianna,Tristana,Thresh
C9,NV,blueTeam,1150,4,0,1,Yes,No,2,0,1,No,No,Gnar,Zac,Syndra,Sivir,Taric,Galio,RekSai,Taliyah,Varus,Thresh
FOX,IMT,redTeam,-6608,1,0,0,No,No,5,0,2,Yes,Yes,Gragas,RekSai,Talon,Tristana,Braum,Renekton,JarvanIV,Taliyah,Sivir,Karma
TL,FLY,blueTeam,-2962,2,0,0,Yes,Yes,3,0,2,No,No,Nautilus,JarvanIV,Orianna,Kalista,Blitzcrank,Renekton,Maokai,Corki,Caitlyn,Alistar
FLY,TL,blueTeam,-2415,3,0,0,Yes,No,4,0,2,No,Yes,Maokai,Rengar,Corki,Tristana,Morgana,Nautilus,JarvanIV,Orianna,Varus,Thresh
C9,FOX,blueTeam,5069,5,0,0,Yes,No,0,0,2,No,No,Galio,JarvanIV,Taliyah,Tristana,Alistar,Shen,RekSai,Corki,KogMaw,Braum
DIG,TL,redTeam,-4566,3,0,0,Yes,No,5,0,3,No,Yes,JarvanIV,Elise,Cassiopeia,Tristana,Blitzcrank,Gragas,LeeSin,Taliyah,Vayne,Thresh
FLY,P1,blueTeam,5955,3,0,2,No,No,0,0,0,No,No,Maokai,JarvanIV,Syndra,Twitch,Karma,Shen,Gragas,Corki,KogMaw,Lulu
DIG,C9,blueTeam,4757,5,0,1,No,Yes,3,0,0,Yes,No,Maokai,JarvanIV,Syndra,Caitlyn,Thresh,Gnar,RekSai,Cassiopeia,Twitch,Blitzcrank
C9,DIG,redTeam,-487,4,0,2,No,No,6,1,1,Yes,Yes,Trundle,Gragas,Cassiopeia,Kalista,Thresh,Maokai,Nunu,Syndra,Twitch,Alistar
CLG,NV,blueTeam,1693,3,0,1,No,Yes,2,0,2,Yes,No,Gnar,Zac,Velkoz,Tristana,Alistar,Shen,Elise,Cassiopeia,Caitlyn,Thresh
CLG,NV,redTeam,-6621,0,0,0,No,No,4,0,3,Yes,No,Shen,Zac,Viktor,Tristana,Alistar,Rumble,Gragas,Galio,Varus,Thresh
NV,CLG,redTeam,-1740,1,0,2,Yes,No,4,0,1,No,No,Gnar,Zac,KogMaw,Kalista,Nautilus,Camille,Gragas,Corki,Tristana,Alistar
TSM,DIG,blueTeam,-1944,3,0,1,No,Yes,3,0,1,Yes,No,Shen,Gragas,Kassadin,Tristana,Thresh,Renekton,JarvanIV,Taliyah,Kalista,Blitzcrank
DIG,TSM,redTeam,-5333,1,0,0,No,No,4,1,3,Yes,Yes,Maokai,Nunu,Syndra,Twitch,Thresh,JarvanIV,Gragas,Cassiopeia,KogMaw,Braum
